# @HWI-Mxxxx or @Mxxxx - MiSeq,,
# @HWUSI - GAIIx,,
# @HWI-Dxxxx - HiSeq 2000/2500,,
# @Kxxxx - HiSeq 3000(?)/4000,,
# @Nxxxx - NextSeq 500/550,,
# @Axxxxx - NovaSeq,,
# @Vxxxxx = NextSeq 2000,,
# @AAxxxxx - NextSeq 2000 P1/P2/P3,,
# _2225* - NextSeq P4,,
# @Hxxxxxx - NovaSeq S1/S2/S4,,
#,,
# Sample sheet for Illumina sequencing,,
sample_ID,fastq_1,fastq_2
22F3YFLT4_19983486_S102,22F3YFLT4_19983486_S102_L005_R1_001.fastq.gz,22F3YFLT4_19983486_S102_L005_R2_001.fastq.gz
22F3YFLT4_19983488_S103,22F3YFLT4_19983488_S103_L005_R1_001.fastq.gz,22F3YFLT4_19983488_S103_L005_R2_001.fastq.gz
22F3YFLT4_19983490_S104,22F3YFLT4_19983490_S104_L005_R1_001.fastq.gz,22F3YFLT4_19983490_S104_L005_R2_001.fastq.gz
22F3YFLT4_19983492_S105,22F3YFLT4_19983492_S105_L005_R1_001.fastq.gz,22F3YFLT4_19983492_S105_L005_R2_001.fastq.gz
22F3YFLT4_19983494_S106,22F3YFLT4_19983494_S106_L005_R1_001.fastq.gz,22F3YFLT4_19983494_S106_L005_R2_001.fastq.gz
22F3YFLT4_19983496_S107,22F3YFLT4_19983496_S107_L005_R1_001.fastq.gz,22F3YFLT4_19983496_S107_L005_R2_001.fastq.gz
22F3YFLT4_19983498_S108,22F3YFLT4_19983498_S108_L005_R1_001.fastq.gz,22F3YFLT4_19983498_S108_L005_R2_001.fastq.gz
22F3YFLT4_19983500_S109,22F3YFLT4_19983500_S109_L005_R1_001.fastq.gz,22F3YFLT4_19983500_S109_L005_R2_001.fastq.gz
22F3YFLT4_19983502_S110,22F3YFLT4_19983502_S110_L005_R1_001.fastq.gz,22F3YFLT4_19983502_S110_L005_R2_001.fastq.gz
22F3YFLT4_19983504_S111,22F3YFLT4_19983504_S111_L005_R1_001.fastq.gz,22F3YFLT4_19983504_S111_L005_R2_001.fastq.gz
22F3YFLT4_19983506_S112,22F3YFLT4_19983506_S112_L005_R1_001.fastq.gz,22F3YFLT4_19983506_S112_L005_R2_001.fastq.gz
22F3YFLT4_19983508_S113,22F3YFLT4_19983508_S113_L005_R1_001.fastq.gz,22F3YFLT4_19983508_S113_L005_R2_001.fastq.gz
22F3YFLT4_19983510_S114,22F3YFLT4_19983510_S114_L005_R1_001.fastq.gz,22F3YFLT4_19983510_S114_L005_R2_001.fastq.gz
22F3YFLT4_19983512_S115,22F3YFLT4_19983512_S115_L005_R1_001.fastq.gz,22F3YFLT4_19983512_S115_L005_R2_001.fastq.gz
22F3YFLT4_19983514_S116,22F3YFLT4_19983514_S116_L005_R1_001.fastq.gz,22F3YFLT4_19983514_S116_L005_R2_001.fastq.gz
22F3YFLT4_19983516_S117,22F3YFLT4_19983516_S117_L005_R1_001.fastq.gz,22F3YFLT4_19983516_S117_L005_R2_001.fastq.gz
22F3YFLT4_19983518_S118,22F3YFLT4_19983518_S118_L005_R1_001.fastq.gz,22F3YFLT4_19983518_S118_L005_R2_001.fastq.gz
22F3YFLT4_19983520_S119,22F3YFLT4_19983520_S119_L005_R1_001.fastq.gz,22F3YFLT4_19983520_S119_L005_R2_001.fastq.gz
22F3YFLT4_19983522_S120,22F3YFLT4_19983522_S120_L005_R1_001.fastq.gz,22F3YFLT4_19983522_S120_L005_R2_001.fastq.gz
22F3YFLT4_19983524_S121,22F3YFLT4_19983524_S121_L005_R1_001.fastq.gz,22F3YFLT4_19983524_S121_L005_R2_001.fastq.gz
22F3YFLT4_19983526_S122,22F3YFLT4_19983526_S122_L005_R1_001.fastq.gz,22F3YFLT4_19983526_S122_L005_R2_001.fastq.gz
22F3YFLT4_19983528_S99,22F3YFLT4_19983528_S99_L005_R1_001.fastq.gz,22F3YFLT4_19983528_S99_L005_R2_001.fastq.gz
22F3YFLT4_19983530_S100,22F3YFLT4_19983530_S100_L005_R1_001.fastq.gz,22F3YFLT4_19983530_S100_L005_R2_001.fastq.gz
22F3YFLT4_19983532_S101,22F3YFLT4_19983532_S101_L005_R1_001.fastq.gz,22F3YFLT4_19983532_S101_L005_R2_001.fastq.gz
